barcode,productName,salePrice,totalSold
9360057,Kitkat,1,0
9403142000609,Whittakers Creamy Milk Chocolate,2.5,0
9300617042310,Cadbury Dairy Milk Chocolate,2,0
9300650022539,Oreos,4,0
9415912020502,Cookie Time - Tripple Chocolate Chunk,3.75,0
9400566004961,Bluebird Chips - Ready Salted,3.5,0
9400566004978,Bluebird Chips - Salt and Vinegar,3.5,0
9400566004985,Bluebird Chips - Cream and Onion,3.5,0
9400566004992,Bluebird Chips - Chicken,3.5,0
9310072028866,Shapes - Barbecue,4.5,0
9310072026282,Shapes - Cheddar,4,0
9310072028903,Shapes - Pizza,4,0
9310072026312,Shapes - Chicken Crimpy,4,0
9310072021584,Farmbake Cookies - Choc Chip Fudge,5.5,0
9300682017466,Starburst - Fruitful Mix,3.5,0
9300682034081,Starburst - Party Mix,3.5,0
76150982350,Microwave Popcorn,3,0
9310072015453,Iced Animals,5,0
9420039509700,Pong Cups,5.75,0
89686171907,Mi Goreng Chicken Noodles,1,0
9300675078337,Sprite 330mL,2.2,0
9300675078252,Coke 330 mL,2.2,0
9300675078382,L&P 330 mL,2.2,0
